[2026-03-16 05:41:17 UTC] Endurance test started — PID 82923
[2026-03-16 07:09:26 UTC] ⚠️ 429 at request #4702 (B0CG1B94S3)
[2026-03-16 07:09:27 UTC] ⚠️ 429 at request #4703 (B0BTFKXQFL)
[2026-03-16 07:09:28 UTC] ⚠️ 429 at request #4704 (B0CZSGWLD9)
[2026-03-16 07:09:29 UTC] ⚠️ 429 at request #4705 (B0D1222MRK)
[2026-03-16 07:09:30 UTC] ⚠️ 429 at request #4706 (B0DJM1ZV5J)
[2026-03-16 07:09:31 UTC] ⚠️ 429 at request #4707 (B0DJZFX7DC)
[2026-03-16 07:09:32 UTC] ⚠️ 429 at request #4708 (B0D77BX6LV)
[2026-03-16 07:09:33 UTC] ⚠️ 429 at request #4709 (B0DGJGJK58)
[2026-03-16 07:09:34 UTC] ⚠️ 429 at request #4710 (B0C8PSRWFM)
[2026-03-16 07:09:35 UTC] ⚠️ 429 at request #4711 (B0BT2KFJ2V)
[2026-03-16 07:09:36 UTC] ⚠️ 429 at request #4712 (B0D5B9V3XQ)
[2026-03-16 07:09:37 UTC] ⚠️ 429 at request #4713 (B0CJCJHXHF)
[2026-03-16 07:09:38 UTC] ⚠️ 429 at request #4714 (B09HSR83TV)
[2026-03-16 07:09:39 UTC] ⚠️ 429 at request #4715 (B0BXN2FK8P)
[2026-03-16 07:09:41 UTC] ⚠️ 429 at request #4716 (B0CSTJ2Y5F)
[2026-03-16 07:09:42 UTC] ⚠️ 429 at request #4717 (B0CY63ZJWT)
[2026-03-16 07:09:43 UTC] ⚠️ 429 at request #4718 (B0D4JRKNMD)
[2026-03-16 07:09:44 UTC] ⚠️ 429 at request #4719 (B0D24JKRM4)
[2026-03-16 07:09:45 UTC] ⚠️ 429 at request #4720 (B0CYPSNTT6)
[2026-03-16 07:09:46 UTC] ⚠️ 429 at request #4721 (B0DFDJHQ6Z)
[2026-03-16 07:09:47 UTC] ⚠️ 429 at request #4722 (B0DL13VQPZ)
[2026-03-16 07:09:48 UTC] ⚠️ 429 at request #4723 (B0DDRG9V47)
[2026-03-16 07:09:49 UTC] ⚠️ 429 at request #4724 (B0DDT7MFJH)
[2026-03-16 07:09:50 UTC] ⚠️ 429 at request #4725 (B0D9JG3QCP)
[2026-03-16 07:09:51 UTC] ⚠️ 429 at request #4726 (B0CJ4DKFRG)
[2026-03-16 07:09:52 UTC] ⚠️ 429 at request #4727 (B0CHML68V7)
[2026-03-16 07:09:53 UTC] ⚠️ 429 at request #4728 (B0CJ3F5FJP)
[2026-03-16 07:09:54 UTC] ⚠️ 429 at request #4729 (B0CMK3JWY1)
[2026-03-16 07:09:55 UTC] ⚠️ 429 at request #4730 (B0BQXKW8JN)
[2026-03-16 07:09:56 UTC] ⚠️ 429 at request #4731 (B0BRJM8BGY)
[2026-03-16 07:09:57 UTC] ⚠️ 429 at request #4732 (B0B7CPSN2K)
[2026-03-16 07:09:58 UTC] ⚠️ 429 at request #4733 (B09HN37XDT)
[2026-03-16 07:09:59 UTC] ⚠️ 429 at request #4734 (B0BG9433MV)
[2026-03-16 07:10:00 UTC] ⚠️ 429 at request #4735 (B0BG94CL5Y)
[2026-03-16 07:10:01 UTC] ⚠️ 429 at request #4736 (B0C75FL2PK)
[2026-03-16 07:10:03 UTC] ⚠️ 429 at request #4737 (B0CH54XPNW)
[2026-03-16 07:10:04 UTC] ⚠️ 429 at request #4738 (B0C4HSLJR3)
[2026-03-16 07:10:05 UTC] ⚠️ 429 at request #4739 (B0CX5C6SL7)
[2026-03-16 07:10:06 UTC] ⚠️ 429 at request #4740 (B0CR1JKLDL)
[2026-03-16 07:10:07 UTC] ⚠️ 429 at request #4741 (B0D1XD1ZV3)
[2026-03-16 07:10:08 UTC] ⚠️ 429 at request #4742 (B09V3KXJPB)
[2026-03-16 07:10:09 UTC] ⚠️ 429 at request #4743 (B0BSHF7WHW)
[2026-03-16 07:10:10 UTC] ⚠️ 429 at request #4744 (B07FZ8S74R)
[2026-03-16 07:10:11 UTC] ⚠️ 429 at request #4745 (B09JQL3NWT)
[2026-03-16 07:10:12 UTC] ⚠️ 429 at request #4746 (B0CX23V2ZK)
[2026-03-16 07:10:13 UTC] ⚠️ 429 at request #4747 (B08N5WRWNW)
[2026-03-16 07:10:14 UTC] ⚠️ 429 at request #4748 (B0CHX1W1XY)
[2026-03-16 07:10:15 UTC] ⚠️ 429 at request #4749 (B09B8DQ26F)
[2026-03-16 07:10:16 UTC] ⚠️ 429 at request #4750 (B0CL5KNB9M)
[2026-03-16 07:10:17 UTC] ⚠️ 429 at request #4751 (B0C1H26C46)
[2026-03-16 07:10:18 UTC] ⚠️ 429 at request #4752 (B0BDHWDR12)
